          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    0.00   0  0.00   105.03  14  1.44 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   10.00   0  0.00   590.00  27 15.67 
    0.00   0  0.00   672.75  48 31.53 
    0.00   0  0.00   674.66  53 35.03 
   22.40   1  0.02   594.33  54 31.34 
   41.20   2  0.08   513.43  56 28.07 
   22.00   0  0.01   453.68  59 26.14 
    8.00   0  0.00   474.17  60 27.96 
    7.60   2  0.01   560.53  59 32.28 
    4.80   1  0.00   460.39  61 27.23 
   11.38  16  0.18   307.70  79 23.61 
    6.15   3  0.02   394.71  62 24.05 
   27.50   3  0.09   377.24  67 24.67 
    8.00   0  0.00   130.47 100 12.69 
    8.00   1  0.01   136.85  79 10.61 
    0.00   0  0.00    42.95  41  1.72 
   18.39  11  0.20    54.51  61  3.26 
    8.00   0  0.00   186.72  37  6.71 
    6.67   1  0.00    31.04  31  0.93 
    7.00   1  0.01    75.57  28  2.04 
    6.89   4  0.02    71.05  25  1.75 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    0.00   0  0.00    78.11  26  1.97 
    8.00   1  0.00    90.63  34  3.04 
   10.09   9  0.09    26.72  41  1.08 
    5.78   2  0.01    59.77  21  1.21 
   35.75  13  0.44   305.97  26  7.77 
    8.00   0  0.00    50.58  23  1.12 
    0.00   0  0.00    78.91  21  1.63 
    8.00   0  0.00    93.67  20  1.79 
   12.19  39  0.47    60.11  43  2.51 
   48.54  18  0.84    63.78  19  1.16 
    8.00   0  0.00    89.03  18  1.55 
    8.00   0  0.00   354.98  24  8.18 
    8.00   0  0.00    31.12  19  0.58 
    0.00   0  0.00    86.57  18  1.56 
   12.36  34  0.41    70.82  41  2.82 
    5.14   1  0.01    45.64  17  0.74 
   10.67   1  0.01   112.48  15  1.65 
    8.00   0  0.00   109.42  16  1.69 
    0.00   0  0.00    91.38  17  1.50 
    8.00   0  0.00   689.82  40 27.21 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    0.00   0  0.00   508.81  62 30.89 
   10.81   6  0.07   432.19  68 28.52 
   14.55  17  0.24   461.94  65 29.40 
   30.55   4  0.13   361.66  69 24.43 
    8.00   1  0.01   392.10  69 26.26 
    0.00   0  0.00   364.79  73 25.85 
    8.00   0  0.00   292.29  84 23.91 
    0.00   0  0.00   319.11  81 25.29 
   11.58  18  0.21   146.82 109 15.68 
   32.63  17  0.53   156.23  38  5.77 
    8.00   1  0.01   247.93  35  8.52 
    8.00   0  0.00    38.23  15  0.57 
    8.00   0  0.00   108.90  17  1.79 
    8.00   0  0.00   122.25  14  1.70 
   11.71   4  0.05    49.75  60  2.91 
   10.20  10  0.10    51.28  14  0.72 
    6.50   2  0.01   108.52  14  1.46 
    8.70  19  0.16   349.05  21  7.29 
    6.91   4  0.03    72.48  27  1.90 
   39.27   2  0.08   115.04  16  1.77 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   12.55  30  0.37    70.79  37  2.56 
   10.60   4  0.04    52.88  13  0.66 
   17.60   2  0.03   128.24  13  1.65 
    8.00   0  0.00   398.93  19  7.55 
   25.00   1  0.02    31.31  35  1.06 
    8.00   0  0.00   143.94  13  1.77 
   11.74  17  0.20    80.54  46  3.62 
    8.00   1  0.01    38.82 140  5.31 
    8.00   1  0.00    69.69  34  2.31 
    5.71   3  0.02   117.25  13  1.47 
    0.00   0  0.00   585.70  25 14.30 
    5.33   1  0.01   651.32  46 29.00 
   16.80   1  0.02   418.78  73 29.69 
   11.72   7  0.08   288.37  89 25.11 
   28.00   5  0.14   458.23  63 28.10 
    8.00   0  0.00   286.97  77 21.52 
    8.00   1  0.00   392.64  45 17.33 
    8.00   0  0.00    67.73  41  2.71 
    8.00   1  0.01   267.49  47 12.33 
    7.64   2  0.02    96.97 133 12.57 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    7.60  23  0.17    56.88 120  6.69 
    8.00   1  0.00    44.20  96  4.16 
    8.00   0  0.00   146.95  16  2.24 
    8.00   0  0.00   171.39  16  2.74 
    8.36   4  0.04   150.95  16  2.36 
   13.33   1  0.01   298.26  29  8.45 
   11.54   8  0.09    11.47 159  1.79 
    6.18   2  0.01    44.14  57  2.46 
    8.00   0  0.00   149.06  23  3.29 
   16.00   1  0.02   142.67  20  2.84 
    8.00   1  0.00   131.14  20  2.51 
   12.80   1  0.01   259.73  41 10.40 
   12.33  68  0.82    43.38 109  4.61 
    8.00   1  0.00    44.96  28  1.24 
    8.00   0  0.00   146.48  19  2.72 
    8.00   0  0.00   146.06  13  1.88 
   12.00   1  0.01   151.33  11  1.60 
    8.00   0  0.00   552.78  26 13.92 
    9.75   2  0.02   288.51  97 27.21 
    6.13   3  0.02   541.07  61 32.11 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    0.00   0  0.00   282.32  92 25.25 
    0.00   0  0.00   170.95 109 18.19 
    8.00   0  0.00   168.11 107 17.63 
    5.33   1  0.00   164.55 109 17.51 
    0.00   0  0.00   222.92 100 21.68 
   15.52  16  0.24   204.86 113 22.60 
    8.00   0  0.00   191.87  54 10.12 
   31.00   3  0.10   192.04  18  3.45 
    8.00   0  0.00   400.96  11  4.23 
    8.00   1  0.01   401.14  36 14.26 
    8.00   0  0.00   333.65  13  4.11 
   14.68  11  0.15    67.06 142  9.27 
    8.00   0  0.00   444.60  36 15.63 
    8.00   0  0.00   364.53  12  4.27 
    8.00   0  0.00   368.91  11  4.11 
   44.00   0  0.01   804.57  38 30.00 
   59.88  14  0.81   711.97  53 36.81 
    8.00   5  0.04   623.96  62 37.65 
    4.00   0  0.00   583.80  63 36.13 
    6.00   0  0.00   707.19  55 37.98 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    7.20   1  0.01   572.48  62 34.42 
    0.00   0  0.00   613.91  56 33.56 
    0.00   0  0.00   604.01  60 35.39 
   11.38   8  0.09   476.16  62 28.63 
   34.12  13  0.44   637.41  56 34.84 
   12.00   7  0.08   622.84  55 33.56 
   44.00   0  0.01   458.13  77 34.42 
    0.00   0  0.00   579.40  57 32.25 
    5.33   1  0.00   640.61  55 34.38 
    8.00   0  0.00   594.20  58 33.75 
    0.00   0  0.00   594.38  58 33.78 
