Gledis-server -config=rocksdb.conf
187.7  9.7


2014/08/29 18:32:22
 %CPU %MEM
174.0  9.7


2014/08/29 18:32:32
 %CPU %MEM
186.7  9.7


2014/08/29 18:32:42
 %CPU %MEM
187.9  9.7


2014/08/29 18:32:52
 %CPU %MEM
183.6  9.7


2014/08/29 18:33:02
 %CPU %MEM
193.9  9.7


2014/08/29 18:33:12
 %CPU %MEM
224.7  9.2


2014/08/29 18:33:22
 %CPU %MEM
244.6  9.2


2014/08/29 18:33:32
 %CPU %MEM
180.9  9.4


2014/08/29 18:33:42
 %CPU %MEM
188.5  9.6


2014/08/29 18:33:52
 %CPU %MEM
177.5  9.8


2014/08/29 18:34:02
 %CPU %MEM
140.7  9.9


2014/08/29 18:34:12
 %CPU %MEM
 93.9  9.3


2014/08/29 18:34:22
 %CPU %MEM
136.0  9.5


2014/08/29 18:34:32
 %CPU %MEM
179.6  9.8


2014/08/29 18:34:42
 %CPU %MEM
127.7  9.7


2014/08/29 18:34:52
 %CPU %MEM
136.5  9.7


2014/08/29 18:35:02
 %CPU %MEM
136.2  9.7


2014/08/29 18:35:12
 %CPU %MEM
136.7  9.7


2014/08/29 18:35:22
 %CPU %MEM
133.3  9.8


2014/08/29 18:35:32
 %CPU %MEM
133.4  9.8


2014/08/29 18:35:42
 %CPU %MEM
108.6  9.8


2014/08/29 18:35:52
 %CPU %MEM
173.3  9.8


2014/08/29 18:36:02
 %CPU %MEM
 92.2  9.8


2014/08/29 18:36:12
 %CPU %MEM
124.8  9.8


2014/08/29 18:36:22
 %CPU %MEM
108.9  9.3


2014/08/29 18:36:32
 %CPU %MEM
138.7  9.4


2014/08/29 18:36:42
 %CPU %MEM
212.9  9.7


2014/08/29 18:36:52
 %CPU %MEM
159.8  9.9


2014/08/29 18:37:02
 %CPU %MEM
241.9 10.1


2014/08/29 18:37:12
 %CPU %MEM
190.0 10.1


2014/08/29 18:37:23
 %CPU %MEM
182.7 10.1


2014/08/29 18:37:33
 %CPU %MEM
178.5 10.1


2014/08/29 18:37:43
 %CPU %MEM
191.6  9.9


2014/08/29 18:37:53
 %CPU %MEM
180.4  9.9


2014/08/29 18:38:03
 %CPU %MEM
165.1  9.9


2014/08/29 18:38:13
 %CPU %MEM
191.5  9.9


2014/08/29 18:38:23
 %CPU %MEM
151.3  9.9


2014/08/29 18:38:33
 %CPU %MEM
153.4  9.9


2014/08/29 18:38:43
